file_path,dataset_split,sample_id,action,unique_rgb_count,unique_rgbs,all_colors_in_frozen_palette,invalid_color_count,invalid_colors,nearest_frozen_palette_colors,distance_to_nearest_palette,suspected_old_palette,confidence,result
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/REMOVE/remove_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas/I_bad.png,c13_overfit,remove_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas_I_bad,REMOVE,7,"[[80, 96, 128], [176, 96, 224], [192, 80, 112], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/REMOVE/remove_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas/I_target.png,c13_overfit,remove_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas_I_target,REMOVE,6,"[[80, 96, 128], [176, 96, 224], [192, 80, 112], [222, 222, 222], [224, 32, 128], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/TRANSLATE/translate_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas/I_bad.png,c13_overfit,translate_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas_I_bad,TRANSLATE,7,"[[80, 96, 128], [176, 96, 224], [192, 80, 112], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/TRANSLATE/translate_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas/I_target.png,c13_overfit,translate_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas_I_target,TRANSLATE,7,"[[80, 96, 128], [176, 96, 224], [192, 80, 112], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/TRANSLATE/c12_1_translate_66f67e6f-2c22-473c-9997-0690a62661ec_Bedroom-7423_pose-1-0_12/I_bad.png,c13_overfit,c12_1_translate_66f67e6f-2c22-473c-9997-0690a62661ec_Bedroom-7423_pose-1-0_12_I_bad,TRANSLATE,7,"[[32, 80, 160], [32, 160, 96], [176, 96, 224], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/TRANSLATE/c12_1_translate_66f67e6f-2c22-473c-9997-0690a62661ec_Bedroom-7423_pose-1-0_12/I_target.png,c13_overfit,c12_1_translate_66f67e6f-2c22-473c-9997-0690a62661ec_Bedroom-7423_pose-1-0_12_I_target,TRANSLATE,7,"[[32, 80, 160], [32, 160, 96], [176, 96, 224], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/TRANSLATE/translate_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas/I_bad.png,c13_overfit,translate_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas_I_bad,TRANSLATE,7,"[[80, 96, 128], [176, 96, 224], [192, 80, 112], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/TRANSLATE/translate_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas/I_target.png,c13_overfit,translate_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas_I_target,TRANSLATE,7,"[[80, 96, 128], [176, 96, 224], [192, 80, 112], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/REPLACE/c12_1_replace_round2_1_ce51b1c1-72b8-4812-a291-30bf97c07aa1_Bedroom-32206_replace-7_12/I_bad.png,c13_overfit,c12_1_replace_round2_1_ce51b1c1-72b8-4812-a291-30bf97c07aa1_Bedroom-32206_replace-7_12_I_bad,REPLACE,7,"[[32, 112, 112], [80, 96, 128], [222, 222, 222], [224, 32, 128], [224, 64, 192], [224, 144, 128], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/REPLACE/c12_1_replace_round2_1_ce51b1c1-72b8-4812-a291-30bf97c07aa1_Bedroom-32206_replace-7_12/I_target.png,c13_overfit,c12_1_replace_round2_1_ce51b1c1-72b8-4812-a291-30bf97c07aa1_Bedroom-32206_replace-7_12_I_target,REPLACE,7,"[[32, 112, 112], [32, 224, 176], [80, 96, 128], [222, 222, 222], [224, 32, 128], [224, 144, 128], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/REPLACE/c12_1_replace_round2_reverse_4184f131-20fd-40ab-ad3e-d4ac14c0aae6_SecondBedroom-15677_replace-5_2_opposite/I_bad.png,c13_overfit,c12_1_replace_round2_reverse_4184f131-20fd-40ab-ad3e-d4ac14c0aae6_SecondBedroom-15677_replace-5_2_opposite_I_bad,REPLACE,7,"[[32, 80, 160], [160, 32, 208], [176, 96, 224], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/REPLACE/c12_1_replace_round2_reverse_4184f131-20fd-40ab-ad3e-d4ac14c0aae6_SecondBedroom-15677_replace-5_2_opposite/I_target.png,c13_overfit,c12_1_replace_round2_reverse_4184f131-20fd-40ab-ad3e-d4ac14c0aae6_SecondBedroom-15677_replace-5_2_opposite_I_target,REPLACE,7,"[[32, 80, 160], [144, 208, 176], [176, 96, 224], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/REPLACE/c12_1_replace_4184f131-20fd-40ab-ad3e-d4ac14c0aae6_SecondBedroom-15677_replace-5_2/I_bad.png,c13_overfit,c12_1_replace_4184f131-20fd-40ab-ad3e-d4ac14c0aae6_SecondBedroom-15677_replace-5_2_I_bad,REPLACE,7,"[[32, 80, 160], [144, 208, 176], [176, 96, 224], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/REPLACE/c12_1_replace_4184f131-20fd-40ab-ad3e-d4ac14c0aae6_SecondBedroom-15677_replace-5_2/I_target.png,c13_overfit,c12_1_replace_4184f131-20fd-40ab-ad3e-d4ac14c0aae6_SecondBedroom-15677_replace-5_2_I_target,REPLACE,7,"[[32, 80, 160], [160, 32, 208], [176, 96, 224], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0/I_bad.png,c14_medium_v1,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0_I_bad,ADD,7,"[[23, 190, 207], [44, 160, 44], [188, 189, 34], [194, 195, 55], [211, 211, 211], [255, 187, 120], [255, 217, 74]]",False,7,"[[23, 190, 207], [44, 160, 44], [188, 189, 34], [194, 195, 55], [211, 211, 211], [255, 187, 120], [255, 217, 74]]","[{""rgb"": [23, 190, 207], ""status"": ""native_mappable"", ""labels"": [""stool""], ""nearest_or_target_frozen_rgb"": [208, 112, 32], ""distance"": 0.0}, {""rgb"": [44, 160, 44], ""status"": ""native_mappable"", ""labels"": [""double_bed""], ""nearest_or_target_frozen_rgb"": [224, 192, 32], ""distance"": 0.0}, {""rgb"": [188, 189, 34], ""status"": ""native_mappable"", ""labels"": [""wardrobe""], ""nearest_or_target_frozen_rgb"": [176, 96, 224], ""distance"": 0.0}, {""rgb"": [194, 195, 55], ""status"": ""native_mappable"", ""labels"": [""cabinet""], ""nearest_or_target_frozen_rgb"": [32, 80, 160], ""distance"": 0.0}, {""rgb"": [211, 211, 211], ""status"": ""native_mappable"", ""labels"": [""floor""], ""nearest_or_target_frozen_rgb"": [222, 222, 222], ""distance"": 0.0}, {""rgb"": [255, 187, 120], ""status"": ""native_mappable"", ""labels"": [""pendant_lamp""], ""nearest_or_target_frozen_rgb"": [80, 96, 128], ""distance"": 0.0}, {""rgb"": [255, 217, 74], ""status"": ""native_mappable"", ""labels"": [""nightstand""], ""nearest_or_target_frozen_rgb"": [224, 32, 128], ""distance"": 0.0}]",0.0,semlayoutdiff_native,high,PALETTE_MISMATCH_REPAIRABLE_BY_LABEL
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0/I_target.png,c14_medium_v1,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0_I_target,ADD,8,"[[23, 190, 207], [44, 160, 44], [141, 120, 210], [188, 189, 34], [194, 195, 55], [211, 211, 211], [255, 187, 120], [255, 217, 74]]",False,8,"[[23, 190, 207], [44, 160, 44], [141, 120, 210], [188, 189, 34], [194, 195, 55], [211, 211, 211], [255, 187, 120], [255, 217, 74]]","[{""rgb"": [23, 190, 207], ""status"": ""native_mappable"", ""labels"": [""stool""], ""nearest_or_target_frozen_rgb"": [208, 112, 32], ""distance"": 0.0}, {""rgb"": [44, 160, 44], ""status"": ""native_mappable"", ""labels"": [""double_bed""], ""nearest_or_target_frozen_rgb"": [224, 192, 32], ""distance"": 0.0}, {""rgb"": [141, 120, 210], ""status"": ""native_mappable"", ""labels"": [""dressing_table""], ""nearest_or_target_frozen_rgb"": [192, 80, 112], ""distance"": 0.0}, {""rgb"": [188, 189, 34], ""status"": ""native_mappable"", ""labels"": [""wardrobe""], ""nearest_or_target_frozen_rgb"": [176, 96, 224], ""distance"": 0.0}, {""rgb"": [194, 195, 55], ""status"": ""native_mappable"", ""labels"": [""cabinet""], ""nearest_or_target_frozen_rgb"": [32, 80, 160], ""distance"": 0.0}, {""rgb"": [211, 211, 211], ""status"": ""native_mappable"", ""labels"": [""floor""], ""nearest_or_target_frozen_rgb"": [222, 222, 222], ""distance"": 0.0}, {""rgb"": [255, 187, 120], ""status"": ""native_mappable"", ""labels"": [""pendant_lamp""], ""nearest_or_target_frozen_rgb"": [80, 96, 128], ""distance"": 0.0}, {""rgb"": [255, 217, 74], ""status"": ""native_mappable"", ""labels"": [""nightstand""], ""nearest_or_target_frozen_rgb"": [224, 32, 128], ""distance"": 0.0}]",0.0,semlayoutdiff_native,high,PALETTE_MISMATCH_REPAIRABLE_BY_LABEL
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8/I_bad.png,c14_medium_v1,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8_I_bad,ADD,7,"[[44, 160, 44], [141, 120, 210], [188, 189, 34], [194, 195, 55], [211, 211, 211], [255, 187, 120], [255, 217, 74]]",False,7,"[[44, 160, 44], [141, 120, 210], [188, 189, 34], [194, 195, 55], [211, 211, 211], [255, 187, 120], [255, 217, 74]]","[{""rgb"": [44, 160, 44], ""status"": ""native_mappable"", ""labels"": [""double_bed""], ""nearest_or_target_frozen_rgb"": [224, 192, 32], ""distance"": 0.0}, {""rgb"": [141, 120, 210], ""status"": ""native_mappable"", ""labels"": [""dressing_table""], ""nearest_or_target_frozen_rgb"": [192, 80, 112], ""distance"": 0.0}, {""rgb"": [188, 189, 34], ""status"": ""native_mappable"", ""labels"": [""wardrobe""], ""nearest_or_target_frozen_rgb"": [176, 96, 224], ""distance"": 0.0}, {""rgb"": [194, 195, 55], ""status"": ""native_mappable"", ""labels"": [""cabinet""], ""nearest_or_target_frozen_rgb"": [32, 80, 160], ""distance"": 0.0}, {""rgb"": [211, 211, 211], ""status"": ""native_mappable"", ""labels"": [""floor""], ""nearest_or_target_frozen_rgb"": [222, 222, 222], ""distance"": 0.0}, {""rgb"": [255, 187, 120], ""status"": ""native_mappable"", ""labels"": [""pendant_lamp""], ""nearest_or_target_frozen_rgb"": [80, 96, 128], ""distance"": 0.0}, {""rgb"": [255, 217, 74], ""status"": ""native_mappable"", ""labels"": [""nightstand""], ""nearest_or_target_frozen_rgb"": [224, 32, 128], ""distance"": 0.0}]",0.0,semlayoutdiff_native,high,PALETTE_MISMATCH_REPAIRABLE_BY_LABEL
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8/I_target.png,c14_medium_v1,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8_I_target,ADD,8,"[[23, 190, 207], [44, 160, 44], [141, 120, 210], [188, 189, 34], [194, 195, 55], [211, 211, 211], [255, 187, 120], [255, 217, 74]]",False,8,"[[23, 190, 207], [44, 160, 44], [141, 120, 210], [188, 189, 34], [194, 195, 55], [211, 211, 211], [255, 187, 120], [255, 217, 74]]","[{""rgb"": [23, 190, 207], ""status"": ""native_mappable"", ""labels"": [""stool""], ""nearest_or_target_frozen_rgb"": [208, 112, 32], ""distance"": 0.0}, {""rgb"": [44, 160, 44], ""status"": ""native_mappable"", ""labels"": [""double_bed""], ""nearest_or_target_frozen_rgb"": [224, 192, 32], ""distance"": 0.0}, {""rgb"": [141, 120, 210], ""status"": ""native_mappable"", ""labels"": [""dressing_table""], ""nearest_or_target_frozen_rgb"": [192, 80, 112], ""distance"": 0.0}, {""rgb"": [188, 189, 34], ""status"": ""native_mappable"", ""labels"": [""wardrobe""], ""nearest_or_target_frozen_rgb"": [176, 96, 224], ""distance"": 0.0}, {""rgb"": [194, 195, 55], ""status"": ""native_mappable"", ""labels"": [""cabinet""], ""nearest_or_target_frozen_rgb"": [32, 80, 160], ""distance"": 0.0}, {""rgb"": [211, 211, 211], ""status"": ""native_mappable"", ""labels"": [""floor""], ""nearest_or_target_frozen_rgb"": [222, 222, 222], ""distance"": 0.0}, {""rgb"": [255, 187, 120], ""status"": ""native_mappable"", ""labels"": [""pendant_lamp""], ""nearest_or_target_frozen_rgb"": [80, 96, 128], ""distance"": 0.0}, {""rgb"": [255, 217, 74], ""status"": ""native_mappable"", ""labels"": [""nightstand""], ""nearest_or_target_frozen_rgb"": [224, 32, 128], ""distance"": 0.0}]",0.0,semlayoutdiff_native,high,PALETTE_MISMATCH_REPAIRABLE_BY_LABEL
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18/I_bad.png,c14_medium_v1,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18_I_bad,ADD,7,"[[23, 190, 207], [141, 120, 210], [188, 189, 34], [194, 195, 55], [211, 211, 211], [255, 187, 120], [255, 217, 74]]",False,7,"[[23, 190, 207], [141, 120, 210], [188, 189, 34], [194, 195, 55], [211, 211, 211], [255, 187, 120], [255, 217, 74]]","[{""rgb"": [23, 190, 207], ""status"": ""native_mappable"", ""labels"": [""stool""], ""nearest_or_target_frozen_rgb"": [208, 112, 32], ""distance"": 0.0}, {""rgb"": [141, 120, 210], ""status"": ""native_mappable"", ""labels"": [""dressing_table""], ""nearest_or_target_frozen_rgb"": [192, 80, 112], ""distance"": 0.0}, {""rgb"": [188, 189, 34], ""status"": ""native_mappable"", ""labels"": [""wardrobe""], ""nearest_or_target_frozen_rgb"": [176, 96, 224], ""distance"": 0.0}, {""rgb"": [194, 195, 55], ""status"": ""native_mappable"", ""labels"": [""cabinet""], ""nearest_or_target_frozen_rgb"": [32, 80, 160], ""distance"": 0.0}, {""rgb"": [211, 211, 211], ""status"": ""native_mappable"", ""labels"": [""floor""], ""nearest_or_target_frozen_rgb"": [222, 222, 222], ""distance"": 0.0}, {""rgb"": [255, 187, 120], ""status"": ""native_mappable"", ""labels"": [""pendant_lamp""], ""nearest_or_target_frozen_rgb"": [80, 96, 128], ""distance"": 0.0}, {""rgb"": [255, 217, 74], ""status"": ""native_mappable"", ""labels"": [""nightstand""], ""nearest_or_target_frozen_rgb"": [224, 32, 128], ""distance"": 0.0}]",0.0,semlayoutdiff_native,high,PALETTE_MISMATCH_REPAIRABLE_BY_LABEL
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18/I_target.png,c14_medium_v1,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18_I_target,ADD,8,"[[23, 190, 207], [44, 160, 44], [141, 120, 210], [188, 189, 34], [194, 195, 55], [211, 211, 211], [255, 187, 120], [255, 217, 74]]",False,8,"[[23, 190, 207], [44, 160, 44], [141, 120, 210], [188, 189, 34], [194, 195, 55], [211, 211, 211], [255, 187, 120], [255, 217, 74]]","[{""rgb"": [23, 190, 207], ""status"": ""native_mappable"", ""labels"": [""stool""], ""nearest_or_target_frozen_rgb"": [208, 112, 32], ""distance"": 0.0}, {""rgb"": [44, 160, 44], ""status"": ""native_mappable"", ""labels"": [""double_bed""], ""nearest_or_target_frozen_rgb"": [224, 192, 32], ""distance"": 0.0}, {""rgb"": [141, 120, 210], ""status"": ""native_mappable"", ""labels"": [""dressing_table""], ""nearest_or_target_frozen_rgb"": [192, 80, 112], ""distance"": 0.0}, {""rgb"": [188, 189, 34], ""status"": ""native_mappable"", ""labels"": [""wardrobe""], ""nearest_or_target_frozen_rgb"": [176, 96, 224], ""distance"": 0.0}, {""rgb"": [194, 195, 55], ""status"": ""native_mappable"", ""labels"": [""cabinet""], ""nearest_or_target_frozen_rgb"": [32, 80, 160], ""distance"": 0.0}, {""rgb"": [211, 211, 211], ""status"": ""native_mappable"", ""labels"": [""floor""], ""nearest_or_target_frozen_rgb"": [222, 222, 222], ""distance"": 0.0}, {""rgb"": [255, 187, 120], ""status"": ""native_mappable"", ""labels"": [""pendant_lamp""], ""nearest_or_target_frozen_rgb"": [80, 96, 128], ""distance"": 0.0}, {""rgb"": [255, 217, 74], ""status"": ""native_mappable"", ""labels"": [""nightstand""], ""nearest_or_target_frozen_rgb"": [224, 32, 128], ""distance"": 0.0}]",0.0,semlayoutdiff_native,high,PALETTE_MISMATCH_REPAIRABLE_BY_LABEL
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4/I_bad.png,c14_medium_v1,add_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4_I_bad,ADD,4,"[[160, 139, 211], [188, 189, 34], [211, 211, 211], [255, 217, 74]]",False,4,"[[160, 139, 211], [188, 189, 34], [211, 211, 211], [255, 217, 74]]","[{""rgb"": [160, 139, 211], ""status"": ""native_mappable"", ""labels"": [""tv_stand""], ""nearest_or_target_frozen_rgb"": [32, 112, 112], ""distance"": 0.0}, {""rgb"": [188, 189, 34], ""status"": ""native_mappable"", ""labels"": [""wardrobe""], ""nearest_or_target_frozen_rgb"": [176, 96, 224], ""distance"": 0.0}, {""rgb"": [211, 211, 211], ""status"": ""native_mappable"", ""labels"": [""floor""], ""nearest_or_target_frozen_rgb"": [222, 222, 222], ""distance"": 0.0}, {""rgb"": [255, 217, 74], ""status"": ""native_mappable"", ""labels"": [""nightstand""], ""nearest_or_target_frozen_rgb"": [224, 32, 128], ""distance"": 0.0}]",0.0,semlayoutdiff_native,high,PALETTE_MISMATCH_REPAIRABLE_BY_LABEL
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/ADD/add_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4/I_target.png,c14_medium_v1,add_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4_I_target,ADD,5,"[[44, 160, 44], [160, 139, 211], [188, 189, 34], [211, 211, 211], [255, 217, 74]]",False,5,"[[44, 160, 44], [160, 139, 211], [188, 189, 34], [211, 211, 211], [255, 217, 74]]","[{""rgb"": [44, 160, 44], ""status"": ""native_mappable"", ""labels"": [""double_bed""], ""nearest_or_target_frozen_rgb"": [224, 192, 32], ""distance"": 0.0}, {""rgb"": [160, 139, 211], ""status"": ""native_mappable"", ""labels"": [""tv_stand""], ""nearest_or_target_frozen_rgb"": [32, 112, 112], ""distance"": 0.0}, {""rgb"": [188, 189, 34], ""status"": ""native_mappable"", ""labels"": [""wardrobe""], ""nearest_or_target_frozen_rgb"": [176, 96, 224], ""distance"": 0.0}, {""rgb"": [211, 211, 211], ""status"": ""native_mappable"", ""labels"": [""floor""], ""nearest_or_target_frozen_rgb"": [222, 222, 222], ""distance"": 0.0}, {""rgb"": [255, 217, 74], ""status"": ""native_mappable"", ""labels"": [""nightstand""], ""nearest_or_target_frozen_rgb"": [224, 32, 128], ""distance"": 0.0}]",0.0,semlayoutdiff_native,high,PALETTE_MISMATCH_REPAIRABLE_BY_LABEL
