variant,sample_id,action,prompt,masked_pixel_accuracy,nonmask_equality_after_copyback,palette_validity_raw,palette_validity_snapped,nearest_palette_distance_mean_raw,nearest_palette_distance_p95_raw,object_count_f1,instance_precision,instance_recall,instance_f1,extra_component_count,allowed_label_violation_count,raw_unique_palette_ids_after_nearest,copyback_unique_palette_ids,target_object_iou,target_object_iou_inside_mask,source_object_iou,source_remaining_pixels_inside_mask,action_specific_iou,edit_success,white_region_floor_or_target_accuracy,source_removed_or_replaced,old_region_target_pixels,old_region_cleared,new_region_target_present
I_bad,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one double_bed in the target_region u",0.32673267326732675,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,False,,,,,
random_fixed_palette,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one double_bed in the target_region u",0.026347634763476346,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,11520,26,26,1.0,1.0,,,1.0,False,,,,,
I_target,add_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one double_bed in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,5,5,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one double_bed in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,5,5,1.0,1.0,,,1.0,True,,,,,
I_bad,add_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one double_bed in the target_region u",0.20915032679738563,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,4,4,1.0,1.0,,,1.0,False,,,,,
random_fixed_palette,add_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one double_bed in the target_region u",0.025256769374416434,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,14119,26,26,1.0,1.0,,,1.0,False,,,,,
I_target,add_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-2_8,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one wardrobe in the target_region usi",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,5,5,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-2_8,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one wardrobe in the target_region usi",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,5,5,1.0,1.0,,,1.0,True,,,,,
I_bad,add_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-2_8,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one wardrobe in the target_region usi",0.792778649921507,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,5,5,1.0,1.0,,,1.0,False,,,,,
random_fixed_palette,add_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-2_8,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one wardrobe in the target_region usi",0.024689596118167546,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,5107,26,26,1.0,1.0,,,1.0,False,,,,,
I_target,add_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-3_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,5,5,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-3_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,5,5,1.0,1.0,,,1.0,True,,,,,
I_bad,add_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-3_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",0.5858485898070263,1.0,1.0,1.0,0.0,0.0,0.8571428571428571,1.0,0.75,0.8571428571428571,0,0,5,5,1.0,1.0,,,1.0,False,,,,,
random_fixed_palette,add_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-3_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",0.023255813953488372,1.0,1.0,1.0,0.0,0.0,0.8571428571428571,1.0,0.75,0.8571428571428571,0,1475,26,26,0.0,0.0,,,0.0,False,,,,,
I_target,add_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-4_14,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,5,5,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-4_14,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,5,5,1.0,1.0,,,1.0,True,,,,,
I_bad,add_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-4_14,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",0.5802707930367504,1.0,1.0,1.0,0.0,0.0,0.8571428571428571,1.0,0.75,0.8571428571428571,0,0,5,5,1.0,1.0,,,1.0,False,,,,,
random_fixed_palette,add_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-4_14,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",0.023694390715667313,1.0,1.0,1.0,0.0,0.0,0.8571428571428571,1.0,0.75,0.8571428571428571,0,1497,26,26,0.0,0.0,,,0.0,False,,,,,
I_target,add_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-5_18,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one tv_stand in the target_region usi",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,5,5,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-5_18,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one tv_stand in the target_region usi",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,5,5,1.0,1.0,,,1.0,True,,,,,
I_bad,add_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-5_18,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one tv_stand in the target_region usi",0.496,1.0,1.0,1.0,0.0,0.0,0.8571428571428571,1.0,0.75,0.8571428571428571,0,0,4,4,1.0,1.0,,,1.0,False,,,,,
random_fixed_palette,add_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-5_18,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one tv_stand in the target_region usi",0.028,1.0,1.0,1.0,0.0,0.0,0.8571428571428571,1.0,0.75,0.8571428571428571,0,2719,26,26,0.0,0.0,,,0.0,False,,,,,
I_target,add_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-0_18,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one double_bed in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,4,4,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-0_18,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one double_bed in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,4,4,1.0,1.0,,,1.0,True,,,,,
I_bad,add_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-0_18,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one double_bed in the target_region u",0.26755244755244756,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,3,3,1.0,1.0,,,1.0,False,,,,,
random_fixed_palette,add_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-0_18,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one double_bed in the target_region u",0.026083916083916085,1.0,1.0,1.0,0.0,0.0,0.8,1.0,0.6666666666666666,0.8,0,18070,26,26,1.0,1.0,,,1.0,False,,,,,
I_target,add_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-1_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,4,4,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-1_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,4,4,1.0,1.0,,,1.0,True,,,,,
I_bad,add_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-1_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",0.5830903790087464,1.0,1.0,1.0,0.0,0.0,0.8,1.0,0.6666666666666666,0.8,0,0,4,4,1.0,1.0,,,1.0,False,,,,,
random_fixed_palette,add_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-1_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",0.028668610301263362,1.0,1.0,1.0,0.0,0.0,0.8,1.0,0.6666666666666666,0.8,0,1453,26,26,0.0,0.0,,,0.0,False,,,,,
I_target,add_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-2_4,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,4,4,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-2_4,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,4,4,1.0,1.0,,,1.0,True,,,,,
I_bad,add_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-2_4,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",0.5830903790087464,1.0,1.0,1.0,0.0,0.0,0.8,1.0,0.6666666666666666,0.8,0,0,4,4,1.0,1.0,,,1.0,False,,,,,
random_fixed_palette,add_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-2_4,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",0.023323615160349854,1.0,1.0,1.0,0.0,0.0,0.8,1.0,0.6666666666666666,0.8,0,1482,26,26,0.0,0.0,,,0.0,False,,,,,
I_target,add_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-3_8,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one pendant_lamp in the target_region",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,4,4,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-3_8,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one pendant_lamp in the target_region",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,4,4,1.0,1.0,,,1.0,True,,,,,
I_bad,add_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-3_8,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one pendant_lamp in the target_region",0.431924882629108,1.0,1.0,1.0,0.0,0.0,0.8,1.0,0.6666666666666666,0.8,0,0,3,3,0.0,0.0,,,0.0,False,,,,,
random_fixed_palette,add_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-3_8,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one pendant_lamp in the target_region",0.02676056338028169,1.0,1.0,1.0,0.0,0.0,0.8,1.0,0.6666666666666666,0.8,0,2882,26,26,0.027125506072874495,0.027125506072874495,,,0.027125506072874495,False,,,,,
I_target,add_013_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-1_4,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one armchair in the target_region usi",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_013_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-1_4,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one armchair in the target_region usi",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
I_bad,add_013_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-1_4,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one armchair in the target_region usi",0.5208472686733556,1.0,1.0,1.0,0.0,0.0,0.8888888888888888,1.0,0.8,0.8888888888888888,0,0,6,6,0.0,0.0,,,0.0,False,,,,,
random_fixed_palette,add_013_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-1_4,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one armchair in the target_region usi",0.02497212931995541,1.0,1.0,1.0,0.0,0.0,0.8888888888888888,1.0,0.8,0.8888888888888888,0,3329,26,26,0.023561395559583146,0.023561395559583146,,,0.023561395559583146,False,,,,,
I_target,add_014_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-2_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_014_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-2_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
I_bad,add_014_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-2_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",0.5873015873015873,1.0,1.0,1.0,0.0,0.0,0.8888888888888888,1.0,0.8,0.8888888888888888,0,0,6,6,1.0,1.0,,,1.0,False,,,,,
random_fixed_palette,add_014_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-2_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one nightstand in the target_region u",0.03125,1.0,1.0,1.0,0.0,0.0,0.8888888888888888,1.0,0.8,0.8888888888888888,0,1453,26,26,0.0,0.0,,,0.0,False,,,,,
I_target,add_015_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-3_10,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one table in the target_region using ",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_015_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-3_10,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one table in the target_region using ",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
I_bad,add_015_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-3_10,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one table in the target_region using ",0.5652173913043478,1.0,1.0,1.0,0.0,0.0,0.8888888888888888,1.0,0.8,0.8888888888888888,0,0,6,6,0.0,0.0,,,0.0,False,,,,,
random_fixed_palette,add_015_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-3_10,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one table in the target_region using ",0.021286231884057972,1.0,1.0,1.0,0.0,0.0,0.8888888888888888,1.0,0.8,0.8888888888888888,0,1636,26,26,0.019328585961342827,0.019328585961342827,,,0.019328585961342827,False,,,,,
I_target,add_016_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-4_16,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one wardrobe in the target_region usi",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
